"date","SPY","EFA","IJS","EEM","AGG"
"2013-12-24","168.145401","58.611771","104.604202","37.719013","96.100555"
"2013-12-26","169.000244","58.932106","104.67942","37.397182","96.0466"
"2013-12-27","168.991043","59.234638","104.707619","37.976482","96.082741"
"2013-12-30","168.963486","59.483784","104.688812","38.141998","96.173019"
"2013-12-31","169.763153","59.706238","104.604202","38.436241","96.082741"
"2014-01-02","168.1362","58.647362","103.729836","36.955807","96.145912"
"2014-01-03","168.108597","58.709652","104.077705","36.891434","96.182045"
"2014-01-06","167.621475","58.638462","103.25975","36.542023","96.308403"
"2014-01-07","168.650955","58.967693","103.946075","36.698341","96.353546"
"2014-01-08","168.687714","58.949902","103.541801","36.5788","96.064659"
"2014-01-09","168.79805","58.905411","103.513596","36.3857","96.200096"
"2014-01-10","169.257614","59.448193","103.82386","37.029369","96.687561"
"2014-01-13","167.005615","58.932106","102.62043","36.587997","96.777824"
"2014-01-14","168.825577","59.403709","103.682808","36.983398","96.633415"
"2014-01-15","169.735596","59.652851","104.463181","36.974197","96.552177"
"2014-01-16","169.514984","59.626156","104.312759","36.771904","96.777824"
"2014-01-17","168.79805","59.448193","103.899078","36.587997","96.823006"
"2014-01-21","169.294373","59.732933","104.547775","36.532825","96.868156"
"2014-01-22","169.404663","59.732933","105.06488","37.020168","96.660484"
"2014-01-23","168.016678","59.33252","104.369156","36.109848","96.913254"
"2014-01-24","164.431885","57.704163","102.159729","35.162735","97.120911"
"2014-01-27","163.623032","57.437225","101.116135","35.024799","96.913254"
"2014-01-28","164.597397","57.935516","101.802475","35.245483","97.075783"
"2014-01-29","163.016373","57.285946","100.674248","34.739746","97.364662"
"2014-01-30","164.744446","57.579597","101.558022","35.061584","97.382729"
"2014-01-31","163.779282","56.600807","100.928101","35.116756","97.563278"
"2014-02-03","160.093399","55.44405","98.229805","34.123661","97.894066"
"2014-02-04","161.214783","56.084713","98.793907","34.813305","97.658859"
"2014-02-05","161.012573","56.200386","98.107567","34.684578","97.41465"
"2014-02-06","163.135895","57.196976","99.066559","35.411003","97.369431"
"2014-02-07","165.158081","57.944416","99.564842","35.613293","97.523209"
"2014-02-10","165.46138","57.748661","99.743469","35.217896","97.622711"
"2014-02-11","167.272202","58.665157","100.56144","35.981102","97.432762"
"2014-02-12","167.354904","58.763035","100.8153","35.990299","97.269936"
"2014-02-13","168.218933","58.940994","102.159729","36.027084","97.477989"
"2014-02-14","169.147324","59.163452","102.432396","36.46846","97.477989"
"2014-02-18","169.349564","59.670635","103.316154","36.128235","97.54129"
"2014-02-19","168.228134","59.270233","102.27256","35.879959","97.468941"
"2014-02-20","169.220856","59.474884","103.297363","36.008694","97.41465"
"2014-02-21","169.027817","59.590565","103.316154","36.256966","97.505112"
"2014-02-24","169.965378","60.106655","104.077705","36.256966","97.41465"
"2014-02-25","169.901031","59.964279","104.040092","35.843182","97.676956"
"2014-02-26","169.910233","59.759624","104.829842","35.870766","97.885017"
"2014-02-27","170.801804","59.964279","105.403366","36.551216","97.98452"
"2014-02-28","171.233856","60.071056","105.600784","36.302937","97.930229"
"2014-03-03","170.029724","58.798637","105.055481","35.659275","98.183975"
"2014-03-04","172.419586","59.964279","107.387123","36.266159","97.821518"
"2014-03-05","172.575836","59.910892","107.123886","36.293751","97.8759"
"2014-03-06","172.971085","60.53376","107.415321","36.808678","97.658386"
"2014-03-07","173.044617","60.204529","107.518761","36.339725","97.386581"
"2014-03-10","172.952744","59.830807","107.340111","36.09145","97.386581"
"2014-03-11","172.09787","59.394798","106.362335","35.686867","97.377487"
"2014-03-12","172.143814","59.172352","106.569176","35.760426","97.594971"
"2014-03-13","170.213516","58.068993","105.431564","35.116756","97.848694"
"2014-03-14","169.735596","57.944416","105.920464","35.309853","97.803383"
"2014-03-17","171.27063","58.674065","106.418755","35.742031","97.749023"
"2014-03-18","172.493118","59.038887","107.734985","36.238575","97.866806"
"2014-03-19","171.573944","58.31813","107.095657","35.466171","97.431854"
"2014-03-20","172.575836","58.09568","107.40593","35.622494","97.35936"
"2014-03-21","171.906128","57.980011","107.434135","35.843182","97.495285"
"2014-03-24","171.195251","58.131275","106.851242","36.192604","97.640289"
"2014-03-25","172.00769","58.763035","106.752106","36.606392","97.540604"
"2014-03-26","170.770554","58.754143","105.007019","36.689148","97.848694"
"2014-03-27","170.410522","59.047787","104.742905","37.167294","97.921204"
"2014-03-28","171.25061","59.492683","105.148506","37.461555","97.776199"
"2014-03-31","172.653931","59.795212","107.016212","37.70982","97.785286"
"2014-04-01","173.798752","60.177834","108.082138","38.151196","97.635399"
"2014-04-02","174.380432","60.29351","108.629257","38.224754","97.47197"
"2014-04-03","174.149597","60.124447","107.893494","38.077629","97.544617"
"2014-04-04","172.09079","59.937588","106.120094","37.976482","97.853294"
"2014-04-07","170.188934","59.652851","104.893829","38.141998","97.998581"
"2014-04-08","170.890594","59.617256","105.733345","38.58337","98.116562"
"2014-04-09","172.727829","60.3825","106.497414","38.877621","98.125664"
"2014-04-10","169.099533","59.314724","104.214645","38.463833","98.352631"
"2014-04-11","167.576172","58.958797","102.997818","38.463833","98.443436"
"2014-04-14","168.896393","59.296921","103.478882","38.381073","98.479774"
"2014-04-15","170.059647","59.047787","103.893929","37.801773","98.488808"
"2014-04-16","171.841507","59.777431","104.563675","38.279926","98.543304"
"2014-04-17","172.081528","60.088856","105.120216","38.629349","98.22554"
"2014-04-21","172.681641","60.168941","105.403206","38.39027","98.216446"
"2014-04-22","173.46637","60.418083","106.346497","38.28912","98.198296"
"2014-04-23","173.060196","60.275707","105.846535","38.013264","98.298149"
"2014-04-24","173.411026","60.266827","105.77108","38.050045","98.388962"
"2014-04-25","171.989227","59.973179","104.441063","37.53511","98.407089"
"2014-04-28","172.533951","60.160042","103.959953","37.719013","98.343559"
"2014-04-29","173.337128","60.551559","104.167488","38.077629","98.388962"
"2014-04-30","173.854141","60.791805","104.563675","38.00407","98.588684"
"2014-05-01","173.87265","60.960865","104.318405","38.050045","98.732735"
"2014-05-02","173.623352","60.862991","104.393875","38.261539","98.85096"
"2014-05-05","173.955719","60.818493","104.101471","38.050045","98.814545"
"2014-05-06","172.441605","60.711731","102.705399","38.224754","98.887367"
"2014-05-07","173.457153","60.782902","103.516632","38.427048","98.887367"
"2014-05-08","173.272522","60.791805","102.620491","38.335094","98.951004"
"2014-05-09","173.531052","60.702827","103.554359","38.270733","98.860077"
"2014-05-12","175.220535","61.103233","105.695602","38.914402","98.778183"
"2014-05-13","175.377518","61.192219","104.7146","39.061531","98.941925"
"2014-05-14","174.5466","61.076553","102.846878","39.337379","99.223892"
"2014-05-15","173.014008","60.809597","102.309212","38.969574","99.433113"
"2014-05-16","173.614136","60.943073","103.01667","39.484512","99.323944"
"2014-05-19","174.251144","60.818493","103.742989","39.484512","99.287567"
"2014-05-20","173.152527","60.435879","102.299774","39.162678","99.333008"
"2014-05-21","174.611176","60.907482","102.648788","39.466118","99.296646"
"2014-05-22","175.035904","60.98756","103.488319","39.741974","99.251183"
"2014-05-23","175.737579","61.147736","104.5448","39.668407","99.351227"
"2014-05-27","176.817749","61.58374","105.874855","39.328186","99.442192"
"2014-05-28","176.688522","61.379089","105.176796","39.558071","99.715057"
"2014-05-29","177.602493","61.752796","105.403206","39.668407","99.660469"
"2014-05-30","177.888672","61.761703","105.214546","39.125893","99.751434"
"2014-06-02","178.091812","61.886276","104.884392","39.245426","99.447998"
"2014-06-03","177.999512","61.735001","104.431595","39.466118","99.183754"
"2014-06-04","178.359558","61.717205","104.724037","39.245426","99.147263"
"2014-06-05","179.522812","62.14431","107.016212","39.659222","99.274864"
"2014-06-06","180.381439","62.48243","107.912354","40.054619","99.220192"
"2014-06-09","180.566055","62.420158","108.676422","40.201744","99.129082"
"2014-06-10","180.584549","62.286678","108.299103","40.413231","98.983253"
"2014-06-11","179.956741","61.975254","107.535034","40.275303","99.056183"
"2014-06-12","178.682678","61.993042","106.912453","40.082199","99.247543"
"2014-06-13","179.227371","62.03754","107.00679","40.100586","99.220192"
"2014-06-16","179.375092","62.05534","107.082268","39.916683","99.165512"
"2014-06-17","179.873642","62.010845","107.865189","39.92588","98.983253"
"2014-06-18","181.193878","62.544727","108.412285","40.36726","99.247543"
"2014-06-19","181.396973","62.882854","108.346275","40.137371","99.101723"
"2014-06-20","181.764969","62.776077","108.553787","40.054619","99.274864"
"2014-06-23","181.709335","62.607018","108.299103","39.971859","99.183754"
"2014-06-24","180.61467","62.2155","107.545227","39.953468","99.35688"
"2014-06-25","181.431015","62.193806","108.292999","40.037464","99.493561"
"2014-06-26","181.301147","62.239391","108.037415","40.083801","99.684937"
"2014-06-27","181.653671","62.275856","108.955559","40.176479","99.684937"
"2014-06-30","181.560852","62.330555","109.258461","40.065266","99.694054"
"2014-07-01","182.776169","62.877552","110.44162","40.445251","99.571327"
"2014-07-02","182.961639","62.97784","109.958893","40.686218","99.224426"
"2014-07-03","183.86145","63.10548","110.782364","40.927181","99.160507"
"2014-07-07","183.221405","62.613182","109.239532","40.89938","99.187897"
"2014-07-08","182.043274","61.956776","108.491753","40.71402","99.388763"
"2014-07-09","182.859589","62.157341","108.482292","40.945721","99.470901"
"2014-07-10","182.136047","61.473606","107.516823","40.723286","99.516556"
"2014-07-11","182.38649","61.510071","107.11927","40.676949","99.653511"
"2014-07-14","183.304871","61.965897","107.668266","40.992058","99.571327"
"2014-07-15","182.961639","61.810913","106.948883","40.964252","99.443512"
"2014-07-16","183.638824","62.193806","107.034088","41.066204","99.525703"
"2014-07-17","181.551651","61.400665","105.623734","40.296963","99.817818"
"2014-07-18","183.406921","61.883842","107.062485","40.927181","99.70826"
"2014-07-21","183.06369","61.65593","106.608147","41.066204","99.744759"
"2014-07-22","183.86145","61.929428","107.516823","41.446186","99.909119"
"2014-07-23","184.269623","62.057056","107.261269","41.483257","99.927338"
"2014-07-24","184.2789","62.202938","107.081398","41.668621","99.616982"
"2014-07-25","183.416229","61.947659","106.011833","41.501797","99.808708"
"2014-07-28","183.490448","61.956776","105.784668","41.789101","99.826965"
"2014-07-29","182.701904","61.829151","105.699455","41.538868","99.927338"
"2014-07-30","182.729736","61.737976","105.822533","41.334969","99.571327"
"2014-07-31","179.121124","60.707802","103.721222","40.612072","99.443512"
"2014-08-01","178.573837","60.288422","103.673889","40.834503","99.818504"
"2014-08-04","179.863281","60.571049","104.459526","41.214493","99.800232"
"2014-08-05","178.119293","59.796127","104.128242","40.584274","99.800232"
"2014-08-06","178.174973","59.650265","104.53524","40.306232","99.809387"
"2014-08-07","177.210159","59.167084","104.024117","40.148678","100.00145"
"2014-08-08","179.2603","59.513515","104.875992","40.510124","100.038033"
"2014-08-11","179.7798","59.741428","105.860397","41.029133","100.047165"
"2014-08-12","179.529358","59.695847","105.226212","41.075466","100.00145"
"2014-08-13","180.744537","60.033161","105.7752","41.297901","100.202629"
